,zcr_mean,sc_mean,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,zcr_vcr,sc_var,mfcc_var1,mfcc_var2,mfcc_var3,mfcc_var4,mfcc_var5,mfcc_var6,mfcc_var7,mfcc_var8,mfcc_var9,mfcc_var10,mfcc_var11,mfcc_var12,mfcc_var13,mfcc_var14,mfcc_var15,mfcc_var16,mfcc_var17,mfcc_var18,mfcc_var19,mfcc_var20,label
24,-0.354626709,-0.126074577,0.413397073,0.000223218,-0.602102051,0.5032527,0.307587419,-0.71742369,-0.407193535,-0.032225149,-1,0.322549563,0.120642487,-0.507738678,0.149611892,-0.068107796,0.412276331,0.423522943,0.663781147,0.733751619,0.501797163,0.433276862,-0.801692442,-0.923355133,-0.830575817,-0.891364936,-0.330493759,-0.502662247,-0.086156579,0.256066371,-0.37825662,-0.657362687,-0.044235549,-0.695690134,-0.484346433,-0.55020914,-0.400746234,-0.2517308,-0.59825141,-0.680156804,-0.429029022,-0.519024283,-0.468361676,-0.658042348,music
25,-0.025801074,0.218440417,0.637066267,-0.443481638,-0.486139102,-0.087709153,-0.290063088,0.064478707,-0.382412005,-0.117068382,-0.153233005,0.534632702,0.122148794,-0.279738997,-0.062155782,-0.526997717,0.46240993,0.117438218,0.459226422,0.709780854,0.350326916,0.151368454,-0.888943916,-0.937025722,-0.786851009,-0.873586238,-0.819020016,-0.790528462,-0.738452494,-0.856104321,-0.608660911,-0.768673279,-0.719308963,-0.706284434,-0.54638743,-0.380898914,-0.350411815,-0.294576586,-0.401281366,-0.420530362,-0.311211148,-0.052738939,-0.206494402,0.438388587,music
26,-0.759757171,-0.61119478,-0.011691257,0.355428832,-0.016721745,-0.107931177,0.314631306,0.141953502,0.068447752,0.08195348,-0.145535392,-0.101891145,0.005382448,-0.351598002,-0.048339335,-0.630676423,-0.202633849,-0.194184431,0.05837904,0.019868868,0.27087501,-0.12378363,-0.847146838,-0.753864312,-0.183406066,-0.540501986,-0.035054365,-0.760230449,-0.763510097,-0.813679912,-0.785200761,-0.752379371,-0.726570048,-0.686664191,-0.453139496,-0.194026475,-0.333338517,-0.529109099,-0.665210329,-0.624552804,-0.719087072,-0.645420453,-0.031274192,0.170009117,music
27,-0.713956749,-0.399836761,0.576100413,0.145701558,0.033030374,0.699848857,0.159423414,0.288829579,0.200732559,-0.21133673,-0.069273658,0.583978529,-0.228702548,0.04037888,-0.398093911,-0.385685435,0.276580707,0.09665522,-0.091474135,-0.674968651,0.062404541,0.170252413,-0.830100786,-0.888462632,0.542497505,-0.802578367,0.009557268,-0.701943828,-0.824509117,-0.795115352,-0.687074054,-0.738172769,-0.694416871,-0.648293933,-0.501938442,-0.080885407,-0.411260432,-0.032165653,0.089425117,-0.276810217,-0.528123336,0.076482486,-0.160635203,-0.258193827,music
28,-0.584535658,-0.057078657,0.614014955,-0.167070088,-0.054520922,0.592320238,0.244266059,0.379013869,0.208306533,0.357958367,-0.118574577,0.70366694,1,-0.204797685,-0.153269133,-0.52855323,0.135034168,-0.151987644,-0.153261261,-0.335921096,0.063256187,-0.714562358,-0.889524586,-0.798824559,-0.797201376,-0.768698659,-0.779505026,-0.797638957,-0.859905683,-0.782979594,-0.764972032,-0.774062016,-0.59045845,-0.610569629,-0.193964992,-0.25899358,0.251030989,-0.166842714,-0.09221536,-0.092878344,-0.247228533,-0.344861327,-0.210841395,-0.134417795,music
29,-0.542181221,-0.146975928,0.887479991,0.099792423,-0.345688035,-0.093907974,0.48449071,0.218409834,-0.260931343,0.195245768,-0.048754344,0.250070764,0.265852507,-0.248544403,-0.096952813,-0.681804091,-0.227941879,-0.014855294,0.141877644,0.049661408,0.208825928,-0.400302357,-0.944018984,-0.886230174,-0.743789926,-0.83336116,-0.76377275,-0.859056993,-0.777898551,-0.857325012,-0.771198516,-0.774154499,-0.881275723,-0.840548603,-0.702834465,-0.781178809,-0.619361799,-0.715355956,-0.781663618,-0.50232978,-0.606020501,-0.651413794,-0.649639562,-0.750622265,music
30,-0.438734421,0.059471658,0.695847066,-0.133088722,-0.075031181,0.039967304,0.025983155,0.413104265,-0.077955344,0.007820436,-0.350328416,-0.016914895,0.063195699,-0.5436734,-0.233390924,-0.696330089,-0.378768712,-0.030197897,0.021371196,-0.360796798,0.124282969,0.179964423,-0.485685066,-0.268545017,-0.334115255,-0.37792458,0.289748637,-0.23622819,-0.327209769,-0.450870931,-0.200518557,-0.410189062,0.095002266,-0.326722317,-0.036202702,-0.376005723,-0.293184344,-0.226263293,-0.308737689,-0.524591618,-0.522030466,-0.133089262,0.005707173,0.03701524,music
31,-0.627277285,-0.411684129,0.168423256,0.300287763,-0.112998186,-0.126695712,0.357597294,0.410146033,0.211512509,0.228800042,-0.180946291,-0.014770534,-0.27495212,-0.241908722,-0.081463117,-0.614257971,0.165737614,-0.132531378,-0.123967148,-0.355517702,0.691188882,-0.408068293,-0.919946506,-0.758591,-0.735788357,-0.791532383,-0.71704168,-0.806297959,-0.707852378,-0.803093716,-0.587384599,-0.741922491,-0.668078878,-0.15591613,-0.461174186,-0.455900871,-0.316621424,-0.026779636,-0.305944101,-0.420749615,-0.463670648,0.015757486,-0.12871939,0.251121632,music
32,-0.318950269,0.107772401,0.878263789,-0.066778586,-0.024583642,-0.075716842,-0.209808613,0.293886738,0.091632033,0.440090774,0.03378839,0.675733439,0.54111347,0.044435185,-0.100168478,-0.595314726,-0.155990977,0.073077532,-0.300575941,0.163220381,0.513819601,0.109077202,-0.656732709,-0.516031978,-0.770941228,-0.511743582,-0.621307167,-0.747798907,-0.776041582,-0.81149833,-0.650470427,-0.744463331,-0.791547705,-0.551610868,-0.67186521,-0.650604357,-0.420686216,-0.563619017,-0.683403497,-0.821545482,-0.761334989,-0.818541466,-0.324036839,-0.613036916,music
33,-0.560536033,-0.2666451,0.481207176,0.064502007,-0.508033719,0.65013155,0.245005442,-0.497744865,-0.4469451,-0.325714045,-0.579156745,0.348656539,-0.171853804,-0.2622014,0.130027839,-0.205615018,0.558098999,0.614125267,1,1,0.625405681,0.385453603,-0.908220609,-0.962278842,-0.922398604,-0.975861942,-0.884190756,-0.892358038,-0.93502743,-0.808486565,-0.846881532,-0.794451502,-0.874327623,-0.777488118,-0.785719289,-0.64305061,-0.595056284,-0.68597802,-0.800268539,-0.779440771,-0.833886704,-0.649024384,-0.702799207,-0.720940309,music
