,zcr_mean,sc_mean,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,zcr_vcr,sc_var,mfcc_var1,mfcc_var2,mfcc_var3,mfcc_var4,mfcc_var5,mfcc_var6,mfcc_var7,mfcc_var8,mfcc_var9,mfcc_var10,mfcc_var11,mfcc_var12,mfcc_var13,mfcc_var14,mfcc_var15,mfcc_var16,mfcc_var17,mfcc_var18,mfcc_var19,mfcc_var20,label
10,-0.477259517,0.049044616,0.868181913,-0.113586041,0.027315866,-0.100201102,-0.105929036,0.430418998,0.169701675,0.28030196,0.128659892,0.312399248,0.227933326,0.063128745,-0.128509055,-0.417529386,0.107529605,-0.138737356,-0.443306051,0.190627957,0.369977399,0.058370893,-0.871424625,-0.668957143,-0.734564562,-0.623708033,-0.760763535,-0.543231929,-0.915917985,-0.835738499,-0.700705431,-0.782359198,-0.877294195,-0.597467184,-0.683747775,-0.7684652,-0.815253193,-0.86942121,-0.940524609,-0.935577532,-0.869825992,-0.914381282,-0.831204144,-0.868441747,music
11,-0.651534425,-0.44260507,0.432598778,0.138124122,-0.448581276,0.404842562,0.313781146,-0.056920495,-0.013404758,0.362426097,0.158256378,0.172213475,0.1329494,0.126984903,0.062675153,0.0824465,0.670149334,0.329316036,-0.042533894,0.095330374,0.627698776,0.862558319,-0.901768396,-0.898196776,-0.916050398,-0.942127516,-0.833886085,-0.919497407,-0.886770395,-0.763853684,-0.8334984,-0.863276199,-0.938833308,-0.899961129,-0.892994237,-0.80126482,-0.886854301,-0.82074902,-0.901299365,-0.922368817,-0.913334397,-0.910109908,-0.89543188,-0.952264436,music
12,-0.429327178,-0.089748054,0.650470944,0.054042117,0.001140113,-0.058955619,-0.274625938,0.345606344,-0.658371623,-0.101481375,-0.497403513,-0.168191279,-0.359289539,-0.334863224,-0.256645476,-0.583139887,-0.265325215,-0.553652479,-0.287210579,-0.173053822,-0.003140968,0.382969347,-0.624306435,-0.14149349,-0.86244068,-0.151766771,-0.33525275,-0.832888086,-0.958620601,-0.895480559,-0.834977091,-0.82559392,-0.848742812,-0.756702346,-0.869543631,-0.78907601,-0.710374645,-0.82496522,-0.881879118,-0.896393698,-0.883455323,-0.828583088,-0.922896296,-0.781091559,music
13,-0.603770565,-0.460979123,0.208680975,0.296963638,-0.299466198,-0.182848596,0.019078065,0.044599284,-0.031596696,-0.153959204,-0.132588079,-0.240709081,-0.123477064,-0.374421524,-0.288154769,-0.470921298,0.182327847,-0.075598749,-0.215014555,0.137774276,0.14134258,-0.226782035,-0.951439686,-0.91576792,-0.79119237,-0.890157753,-0.929546048,-0.854707147,-0.881741899,-0.922187249,-0.937293675,-0.737558062,-0.862963103,-0.386327042,-0.619804382,0.618131343,-0.293412665,-0.832524626,-0.864986108,-0.867432224,-0.662751518,-0.701203485,-0.520248803,-0.16129684,music
14,-0.556242576,-0.199954505,0.293713438,-0.015932937,-0.528535546,0.150085384,0.248452478,-0.117507564,-0.248354941,-0.211842282,-0.389379508,-0.118262181,-0.429744442,-0.243065615,-0.121623057,-0.227662282,0.565041392,0.400374185,0.189547934,0.549709267,0.501116459,0.267370796,-0.965480387,-0.928552362,-0.846520252,-0.926595731,-0.75347671,-0.84257862,-0.955659697,-0.510852985,-0.889409258,-0.839143307,-0.662528949,-0.90225538,-0.868484238,-0.909651586,-0.923736185,-0.830760721,-0.813001856,-0.825584846,-0.769663467,-0.860766216,-0.865796231,-0.846759636,music
15,-0.722447329,-0.638655154,0.146455709,0.424868788,-0.33833436,-0.355637854,0.104736212,-0.120923262,-0.345344633,-0.440470894,-0.223186982,-0.32345774,-0.090724059,-0.38835289,-0.313538547,-0.666577507,-0.095138429,-0.432146018,-0.35636893,0.015714879,0.257281457,0.430066971,-0.989114366,-0.983498312,-0.692556835,-0.924032168,-0.678089616,-0.840571986,-0.745044546,-0.914435267,-0.805749071,-0.790792547,-0.579039864,-0.068147892,-0.1700628,-0.090349811,-0.086461445,-0.462938784,-0.906882731,-0.830005858,-0.084939499,-0.413549667,-0.74810051,-0.343042443,music
16,-0.72446908,-0.280635607,0.37281796,-0.004631274,0.117774493,0.327112295,0.223190702,0.461995577,0.235280468,0.191603834,0.161613591,0.375911718,0.061382411,-0.214366754,-0.21492402,-0.454448207,0.119887425,-0.144474029,-0.22635233,0.081375174,-0.013711645,-0.110224305,-0.948457402,-0.894254759,-0.893172397,-0.909108285,-0.897248618,-0.930307988,-0.880247788,-0.906693542,-0.925554089,-0.793844018,-0.738718694,-0.804757217,-0.691190434,-0.819719753,-0.864716785,-0.785710535,-0.939369502,-0.886742852,-0.754326512,-0.874433189,-0.878358308,-0.688336107,music
17,-0.834620795,-0.711704019,0.275011568,0.556158467,-0.214436739,0.53290962,0.397861189,0.242918458,0.449654481,-0.068524103,0.031878074,-0.415200579,-0.215270867,-0.278423527,-0.200209879,-0.602369833,0.006189204,-0.449511111,-0.454173189,-0.063443726,0.183756914,0.053540413,-0.980851467,-0.955307128,-0.870457148,-0.910486065,-0.665555413,-0.598165923,-0.758176584,-0.925976602,-0.865145335,-0.80400234,-0.863303423,-0.908241016,-0.897556147,-0.872205483,-0.904066656,-0.84748461,-0.955782442,-0.949534179,-0.936114824,-0.953700533,-0.879426537,-0.92751647,music
18,-0.609482011,-0.455056493,0.246906943,0.304251877,-0.613891038,-0.444856593,-0.318250117,-0.228841708,-0.28050331,-0.684372231,-0.438701041,-0.805081821,-0.171755502,-0.297173353,-0.275229793,-0.523256069,0.10774478,-0.117424499,0.176191649,0.235580282,-0.039377125,-0.282770064,-0.991982875,-0.991900401,-0.975216054,-0.981859711,-0.971167069,-0.979660709,-0.932515881,-0.94192071,-0.951763573,-0.946985455,-0.975187477,-0.904260263,-0.935595595,-0.94014254,-0.94282966,-0.934879265,-0.96577992,-0.967989669,-0.94063412,-0.914762517,-0.953995432,-0.95229607,music
19,-0.528443505,-0.012120606,0.515567927,-0.11551964,0.067976466,-0.202980056,0.031089125,0.499735037,0.098808255,0.08366881,-0.091088427,-0.113116998,-0.104718457,-0.395190936,-0.218239403,-0.473380391,0.010318572,-0.266851907,-0.365963661,-0.064317898,0.160053295,0.330414231,-0.694015305,-0.309518723,-0.474366979,-0.402983625,-0.233737115,-0.623132238,-0.748139954,-0.816058383,-0.715655045,-0.727253609,-0.660393892,-0.670909438,-0.776733324,-0.829028237,-0.745306392,-0.787801598,-0.627745549,-0.870147736,-0.653093609,-0.676411547,-0.4931155,-0.276582079,music
